SEASON,SITE,SPECIES,GENUS,PROP
1_SM18,WT,AN,C,1
1_SM18,WT,AN,D,0
1_SM18,WT,AN,CD,0
2_FL,WT,AN,C,1
2_FL,WT,AN,D,0
2_FL,WT,AN,CD,0
3_WNT,WT,AN,C,1
3_WNT,WT,AN,D,0
3_WNT,WT,AN,CD,0
4_SP,WT,AN,C,1
4_SP,WT,AN,D,0
4_SP,WT,AN,CD,0
5_SM19,WT,AN,C,0
5_SM19,WT,AN,D,0
5_SM19,WT,AN,CD,0
1_SM18,OT,AN,C,0
1_SM18,OT,AN,D,0
1_SM18,OT,AN,CD,1
2_FL,OT,AN,C,0
2_FL,OT,AN,D,0
2_FL,OT,AN,CD,1
3_WNT,OT,AN,C,0
3_WNT,OT,AN,D,0
3_WNT,OT,AN,CD,1
4_SP,OT,AN,C,0
4_SP,OT,AN,D,0
4_SP,OT,AN,CD,1
5_SM19,OT,AN,C,0
5_SM19,OT,AN,D,0
5_SM19,OT,AN,CD,0
