Site,Date,BOD5,NO3N,NO2N,PO4P,NH3N
WT,2018-05-25,0.6,0.002,0.008,0.002,0.015
WT,2018-07-27,1.3,0.029,0.001,0.002,0.016
WT,2018-09-05,0.7,0.029,0.001,0.007,0.032
WT,2018-10-21,1.2,0,0.017,0.006,0.018
WT,2018-11-16,0.63888969,0.011,0.001,0.003,0.029
WT,2018-12-20,0.7,0.014,0,0.003,0.013
WT,2019-01-24,1.6,0.016,0.001,0.095,0.013
WT,2019-03-18,1.188130732,0.019,0.001,0,0.015
WT,2019-04-22,0.757037925,0,0,0,0.024
WT,2019-05-23,0.784777523,0.021,0.001,0.003,0.015
WT,2019-06-28,2.55588206,0.016,0.001,0,0.01
OT,2018-05-25,0.6,0.002,0.006,0.003,0.01
OT,2018-07-27,1,0.017,0.001,0.002,0.015
OT,2018-09-05,0.6,0.048,0.001,0.007,0.027
OT,2018-10-21,1.5,0,0.052,0.011,0.015
OT,2018-11-16,0.63888969,0.012,0.001,0.011,0.031
OT,2018-12-20,0.7,0.019,0,0.003,0.012
OT,2019-01-24,1.524499694,0.023,0.001,0.017,0.019
OT,2019-03-18,1.491474459,0.019,0.001,0.003,0.012
OT,2019-04-22,1.165770955,0,0,0,0.022
OT,2019-05-23,0.828916331,0.022,0.001,0.005,0.018
OT,2019-06-28,1.185834299,0.021,0.001,0.003,0.01
