cycle,season,genus,colony_id,value,line_group
1,Summer,C,OT_PL1,-1858.090535,PL1_C
2,Summer,C,OT_PL1,-1403.973022,PL1_C
3,Summer,C,OT_PL1,293.256471,PL1_C
4,Summer,C,OT_PL1,70.42088064,PL1_C
5,Summer,C,OT_PL1,-290.0188853,PL1_C
6,Summer,C,OT_PL1,-237.1357355,PL1_C
7,Summer,C,OT_PL1,-114.3775736,PL1_C
8,Summer,C,OT_PL1,76.53943888,PL1_C
9,Summer,C,OT_PL1,113.3705037,PL1_C
10,Summer,C,OT_PL1,480.4958541,PL1_C
11,Summer,C,OT_PL1,1101.602966,PL1_C
12,Summer,C,OT_PL1,2417.868978,PL1_C
13,Summer,C,OT_PL1,4900.082764,PL1_C
14,Summer,C,OT_PL1,9850.046549,PL1_C
15,Summer,C,OT_PL1,19520.13021,PL1_C
16,Summer,C,OT_PL1,38417.48177,PL1_C
17,Summer,C,OT_PL1,70901.76042,PL1_C
18,Summer,C,OT_PL1,114406.8698,PL1_C
19,Summer,C,OT_PL1,165361.7552,PL1_C
20,Summer,C,OT_PL1,220813.9323,PL1_C
21,Summer,C,OT_PL1,276525.4635,PL1_C
22,Summer,C,OT_PL1,328602.1667,PL1_C
23,Summer,C,OT_PL1,376659.3646,PL1_C
24,Summer,C,OT_PL1,418422.9271,PL1_C
25,Summer,C,OT_PL1,455244.4063,PL1_C
26,Summer,C,OT_PL1,488464.5313,PL1_C
27,Summer,C,OT_PL1,517992.3646,PL1_C
28,Summer,C,OT_PL1,544581.4688,PL1_C
29,Summer,C,OT_PL1,568117.5417,PL1_C
30,Summer,C,OT_PL1,588706.3333,PL1_C
31,Summer,C,OT_PL1,607224.9583,PL1_C
32,Summer,C,OT_PL1,623802.8958,PL1_C
33,Summer,C,OT_PL1,639577.7708,PL1_C
34,Summer,C,OT_PL1,652508.4167,PL1_C
35,Summer,C,OT_PL1,662780.4583,PL1_C
1,Summer,D,OT_PL1,-1188.889404,PL1_D
2,Summer,D,OT_PL1,-878.5369873,PL1_D
3,Summer,D,OT_PL1,45.01602173,PL1_D
4,Summer,D,OT_PL1,42.22797648,PL1_D
5,Summer,D,OT_PL1,-829.4975993,PL1_D
6,Summer,D,OT_PL1,-512.6112467,PL1_D
7,Summer,D,OT_PL1,-241.2197062,PL1_D
8,Summer,D,OT_PL1,312.7343953,PL1_D
9,Summer,D,OT_PL1,295.2509766,PL1_D
10,Summer,D,OT_PL1,421.8821615,PL1_D
11,Summer,D,OT_PL1,447.2398885,PL1_D
12,Summer,D,OT_PL1,713.667923,PL1_D
13,Summer,D,OT_PL1,391.4162579,PL1_D
14,Summer,D,OT_PL1,42.40940348,PL1_D
15,Summer,D,OT_PL1,-203.1391195,PL1_D
16,Summer,D,OT_PL1,257.33579,PL1_D
17,Summer,D,OT_PL1,436.2950541,PL1_D
18,Summer,D,OT_PL1,515.5329895,PL1_D
19,Summer,D,OT_PL1,468.5339864,PL1_D
20,Summer,D,OT_PL1,1804.839539,PL1_D
21,Summer,D,OT_PL1,4253.634928,PL1_D
22,Summer,D,OT_PL1,6800.109701,PL1_D
23,Summer,D,OT_PL1,12828.23828,PL1_D
24,Summer,D,OT_PL1,24224.10938,PL1_D
25,Summer,D,OT_PL1,44437.12109,PL1_D
26,Summer,D,OT_PL1,78526.96615,PL1_D
27,Summer,D,OT_PL1,126496.0234,PL1_D
28,Summer,D,OT_PL1,184990.0677,PL1_D
29,Summer,D,OT_PL1,247942.8385,PL1_D
30,Summer,D,OT_PL1,311311.5104,PL1_D
31,Summer,D,OT_PL1,370077.5208,PL1_D
32,Summer,D,OT_PL1,423794.6979,PL1_D
33,Summer,D,OT_PL1,471407.2813,PL1_D
34,Summer,D,OT_PL1,513531.0625,PL1_D
35,Summer,D,OT_PL1,544922.6979,PL1_D
1,Fall,C,OT_PL1,-856.4923299,PL1_C
2,Fall,C,OT_PL1,-640.7633735,PL1_C
3,Fall,C,OT_PL1,-191.2375056,PL1_C
4,Fall,C,OT_PL1,-44.16479238,PL1_C
5,Fall,C,OT_PL1,168.7100169,PL1_C
6,Fall,C,OT_PL1,287.095253,PL1_C
7,Fall,C,OT_PL1,-0.486977895,PL1_C
8,Fall,C,OT_PL1,-259.8218053,PL1_C
9,Fall,C,OT_PL1,33.00742594,PL1_C
