SEASON,SITE,SPECIES,GENUS,PROP
1_SM18,WT,PL,C,0.75
1_SM18,WT,PL,D,0
1_SM18,WT,PL,CD,0.25
2_FL,WT,PL,C,1
2_FL,WT,PL,D,0
2_FL,WT,PL,CD,0
3_WNT,WT,PL,C,1
3_WNT,WT,PL,D,0
3_WNT,WT,PL,CD,0
4_SP,WT,PL,C,0.8
4_SP,WT,PL,D,0
4_SP,WT,PL,CD,0.2
5_SM19,WT,PL,C,0
5_SM19,WT,PL,D,0
5_SM19,WT,PL,CD,0
1_SM18,OT,PL,C,0
1_SM18,OT,PL,D,0
1_SM18,OT,PL,CD,1
2_FL,OT,PL,C,0.2
2_FL,OT,PL,D,0
2_FL,OT,PL,CD,0.8
3_WNT,OT,PL,C,0.75
3_WNT,OT,PL,D,0
3_WNT,OT,PL,CD,0.25
4_SP,OT,PL,C,0.2
4_SP,OT,PL,D,0
4_SP,OT,PL,CD,0.8
5_SM19,OT,PL,C,0
5_SM19,OT,PL,D,0
5_SM19,OT,PL,CD,0
