DATETIME,TEMP,SITE
6/1/2018 0:00,29.09,WT
6/1/2018 0:10,29.065,WT
6/1/2018 0:20,29.065,WT
6/1/2018 0:30,29.065,WT
6/1/2018 0:40,29.04,WT
6/1/2018 0:50,29.04,WT
6/1/2018 1:00,29.04,WT
6/1/2018 1:10,29.04,WT
6/1/2018 1:20,29.04,WT
6/1/2018 1:30,29.04,WT
6/1/2018 1:40,29.015,WT
6/1/2018 1:50,29.015,WT
6/1/2018 2:00,29.015,WT
6/1/2018 2:10,29.015,WT
6/1/2018 2:20,29.04,WT
6/1/2018 2:30,29.065,WT
6/1/2018 2:40,29.09,WT
6/1/2018 2:50,29.09,WT
6/1/2018 3:00,29.115,WT
6/1/2018 3:10,29.19,WT
6/1/2018 3:20,29.19,WT
6/1/2018 3:30,29.165,WT
6/1/2018 3:40,29.04,WT
6/1/2018 3:50,28.841,WT
6/1/2018 4:00,28.99,WT
6/1/2018 4:10,29.015,WT
6/1/2018 4:20,29.065,WT
6/1/2018 4:30,28.841,WT
6/1/2018 4:40,28.941,WT
6/1/2018 4:50,28.941,WT
6/1/2018 5:00,28.916,WT
6/1/2018 5:10,28.99,WT
6/1/2018 5:20,29.04,WT
6/1/2018 5:30,29.065,WT
6/1/2018 5:40,29.14,WT
6/1/2018 5:50,29.165,WT
6/1/2018 6:00,29.14,WT
6/1/2018 6:10,29.115,WT
6/1/2018 6:20,29.115,WT
6/1/2018 6:30,29.115,WT
6/1/2018 6:40,29.115,WT
6/1/2018 6:50,29.115,WT
6/1/2018 7:00,29.115,WT
6/1/2018 7:10,29.14,WT
6/1/2018 7:20,29.165,WT
6/1/2018 7:30,29.165,WT
6/1/2018 7:40,29.19,WT
6/1/2018 7:50,29.215,WT
6/1/2018 8:00,29.24,WT
6/1/2018 8:10,29.24,WT
6/1/2018 8:20,29.24,WT
6/1/2018 8:30,29.215,WT
6/1/2018 8:40,29.215,WT
6/1/2018 8:50,29.215,WT
6/1/2018 9:00,29.19,WT
6/1/2018 9:10,29.19,WT
6/1/2018 9:20,29.19,WT
6/1/2018 9:30,29.19,WT
6/1/2018 9:40,29.215,WT
6/1/2018 9:50,29.215,WT
6/1/2018 10:00,29.215,WT
6/1/2018 10:10,29.14,WT
6/1/2018 10:20,29.09,WT
6/1/2018 10:30,29.14,WT
6/1/2018 10:40,29.265,WT
6/1/2018 10:50,29.29,WT
6/1/2018 11:00,29.315,WT
6/1/2018 11:10,29.29,WT
6/1/2018 11:20,29.24,WT
6/1/2018 11:30,29.215,WT
6/1/2018 11:40,29.14,WT
6/1/2018 11:50,29.265,WT
6/1/2018 12:00,29.515,WT
6/1/2018 12:10,29.365,WT
6/1/2018 12:20,29.29,WT
6/1/2018 12:30,29.24,WT
6/1/2018 12:40,29.215,WT
6/1/2018 12:50,29.165,WT
6/1/2018 13:00,29.09,WT
6/1/2018 13:10,29.24,WT
6/1/2018 13:20,29.365,WT
6/1/2018 13:30,29.464,WT
6/1/2018 13:40,29.389,WT
6/1/2018 13:50,29.365,WT
6/1/2018 14:00,29.34,WT
6/1/2018 14:10,29.414,WT
6/1/2018 14:20,29.365,WT
6/1/2018 14:30,29.365,WT
6/1/2018 14:40,29.315,WT
6/1/2018 14:50,29.115,WT
6/1/2018 15:00,28.841,WT
6/1/2018 15:10,28.717,WT
6/1/2018 15:20,28.468,WT
6/1/2018 15:30,28.667,WT
6/1/2018 15:40,28.667,WT
6/1/2018 15:50,28.692,WT
6/1/2018 16:00,28.717,WT
6/1/2018 16:10,28.692,WT
6/1/2018 16:20,28.692,WT
6/1/2018 16:30,28.245,WT
6/1/2018 16:40,27.186,WT
6/1/2018 16:50,26.695,WT
6/1/2018 17:00,26.378,WT
6/1/2018 17:10,26.109,WT
6/1/2018 17:20,26.109,WT
6/1/2018 17:30,26.72,WT
6/1/2018 17:40,27.235,WT
6/1/2018 17:50,27.259,WT
6/1/2018 18:00,27.358,WT
6/1/2018 18:10,27.382,WT
6/1/2018 18:20,27.382,WT
6/1/2018 18:30,27.358,WT
6/1/2018 18:40,27.407,WT
6/1/2018 18:50,27.358,WT
6/1/2018 19:00,27.087,WT
6/1/2018 19:10,27.038,WT
6/1/2018 19:20,27.702,WT
6/1/2018 19:30,27.924,WT
6/1/2018 19:40,27.949,WT
6/1/2018 19:50,27.924,WT
6/1/2018 20:00,27.998,WT
6/1/2018 20:10,28.072,WT
6/1/2018 20:20,28.072,WT
6/1/2018 20:30,28.048,WT
6/1/2018 20:40,28.072,WT
6/1/2018 20:50,28.072,WT
6/1/2018 21:00,28.072,WT
6/1/2018 21:10,28.048,WT
6/1/2018 21:20,28.023,WT
6/1/2018 21:30,28.023,WT
6/1/2018 21:40,28.023,WT
6/1/2018 21:50,27.998,WT
6/1/2018 22:00,28.023,WT
6/1/2018 22:10,28.023,WT
6/1/2018 22:20,27.998,WT
6/1/2018 22:30,28.245,WT
6/1/2018 22:40,28.394,WT
6/1/2018 22:50,28.493,WT
6/1/2018 23:00,28.543,WT
6/1/2018 23:10,28.568,WT
6/1/2018 23:20,28.568,WT
6/1/2018 23:30,28.568,WT
6/1/2018 23:40,28.568,WT
6/1/2018 23:50,28.518,WT
6/2/2018 0:00,28.493,WT
6/2/2018 0:10,28.493,WT
