cycle,season,genus,colony_id,value,line_group
1,Summer,C,WT_AN1,-2809.270955,AN1_C
2,Summer,C,WT_AN1,-2002.001709,AN1_C
3,Summer,C,WT_AN1,-542.8301697,AN1_C
4,Summer,C,WT_AN1,369.4559501,AN1_C
5,Summer,C,WT_AN1,213.5845221,AN1_C
6,Summer,C,WT_AN1,316.2846934,AN1_C
7,Summer,C,WT_AN1,-183.2416925,AN1_C
8,Summer,C,WT_AN1,-27.00765483,AN1_C
9,Summer,C,WT_AN1,293.2602234,AN1_C
10,Summer,C,WT_AN1,1031.043735,AN1_C
11,Summer,C,WT_AN1,2970.290812,AN1_C
12,Summer,C,WT_AN1,5100.128906,AN1_C
13,Summer,C,WT_AN1,10007.16276,AN1_C
14,Summer,C,WT_AN1,18786.38542,AN1_C
15,Summer,C,WT_AN1,36230.37891,AN1_C
16,Summer,C,WT_AN1,67704.83984,AN1_C
17,Summer,C,WT_AN1,119727.5521,AN1_C
18,Summer,C,WT_AN1,192343.5833,AN1_C
19,Summer,C,WT_AN1,274531.3906,AN1_C
20,Summer,C,WT_AN1,352129.3021,AN1_C
21,Summer,C,WT_AN1,418954.5625,AN1_C
22,Summer,C,WT_AN1,474379.75,AN1_C
23,Summer,C,WT_AN1,518955.875,AN1_C
24,Summer,C,WT_AN1,554109.6354,AN1_C
25,Summer,C,WT_AN1,582574.5313,AN1_C
26,Summer,C,WT_AN1,604790.75,AN1_C
27,Summer,C,WT_AN1,622200.7813,AN1_C
28,Summer,C,WT_AN1,636400.6667,AN1_C
29,Summer,C,WT_AN1,648213.9896,AN1_C
30,Summer,C,WT_AN1,656815.7917,AN1_C
31,Summer,C,WT_AN1,663010.5729,AN1_C
32,Summer,C,WT_AN1,667304.8333,AN1_C
33,Summer,C,WT_AN1,670795.8438,AN1_C
34,Summer,C,WT_AN1,673235.5417,AN1_C
35,Summer,C,WT_AN1,673647.4688,AN1_C
1,Summer,D,WT_AN1,-8437.850016,AN1_D
2,Summer,D,WT_AN1,-6850.365967,AN1_D
3,Summer,D,WT_AN1,-3814.629191,AN1_D
4,Summer,D,WT_AN1,-2044.449666,AN1_D
5,Summer,D,WT_AN1,-818.9916433,AN1_D
6,Summer,D,WT_AN1,318.6253408,AN1_D
7,Summer,D,WT_AN1,609.4662374,AN1_D
8,Summer,D,WT_AN1,595.6873881,AN1_D
9,Summer,D,WT_AN1,717.8902384,AN1_D
10,Summer,D,WT_AN1,1858.275431,AN1_D
11,Summer,D,WT_AN1,1841.402791,AN1_D
12,Summer,D,WT_AN1,1470.282796,AN1_D
13,Summer,D,WT_AN1,1246.21228,AN1_D
14,Summer,D,WT_AN1,1403.225057,AN1_D
15,Summer,D,WT_AN1,861.9695841,AN1_D
16,Summer,D,WT_AN1,234.810496,AN1_D
17,Summer,D,WT_AN1,-28.50222778,AN1_D
18,Summer,D,WT_AN1,-10.6561025,AN1_D
19,Summer,D,WT_AN1,-297.1485291,AN1_D
20,Summer,D,WT_AN1,-388.073232,AN1_D
21,Summer,D,WT_AN1,-807.8989665,AN1_D
22,Summer,D,WT_AN1,-981.7794088,AN1_D
23,Summer,D,WT_AN1,-872.4723969,AN1_D
24,Summer,D,WT_AN1,-566.5403214,AN1_D
25,Summer,D,WT_AN1,-956.9389852,AN1_D
26,Summer,D,WT_AN1,-777.4183858,AN1_D
27,Summer,D,WT_AN1,-580.7311204,AN1_D
28,Summer,D,WT_AN1,130.2243856,AN1_D
29,Summer,D,WT_AN1,2375.908976,AN1_D
30,Summer,D,WT_AN1,7136.137939,AN1_D
31,Summer,D,WT_AN1,15624.96582,AN1_D
32,Summer,D,WT_AN1,31544.14518,AN1_D
33,Summer,D,WT_AN1,59475.51107,AN1_D
