cycle,season,genus,colony_id,value,line_group
1,Summer,C,WT_PL1,-2890.265462,PL1_C
2,Summer,C,WT_PL1,-2489.604126,PL1_C
3,Summer,C,WT_PL1,-1408.45577,PL1_C
4,Summer,C,WT_PL1,-961.3386434,PL1_C
5,Summer,C,WT_PL1,-665.8907725,PL1_C
6,Summer,C,WT_PL1,-41.70331319,PL1_C
7,Summer,C,WT_PL1,321.861735,PL1_C
8,Summer,C,WT_PL1,616.8720907,PL1_C
9,Summer,C,WT_PL1,533.8121541,PL1_C
10,Summer,C,WT_PL1,445.2625936,PL1_C
11,Summer,C,WT_PL1,442.0333862,PL1_C
12,Summer,C,WT_PL1,407.533315,PL1_C
13,Summer,C,WT_PL1,65.99420166,PL1_C
14,Summer,C,WT_PL1,-66.62045288,PL1_C
15,Summer,C,WT_PL1,26.83001709,PL1_C
16,Summer,C,WT_PL1,236.395078,PL1_C
17,Summer,C,WT_PL1,266.6788635,PL1_C
18,Summer,C,WT_PL1,227.3949585,PL1_C
19,Summer,C,WT_PL1,363.4990641,PL1_C
20,Summer,C,WT_PL1,554.1266073,PL1_C
21,Summer,C,WT_PL1,563.808843,PL1_C
22,Summer,C,WT_PL1,377.7879613,PL1_C
23,Summer,C,WT_PL1,154.9467519,PL1_C
24,Summer,C,WT_PL1,-321.298111,PL1_C
25,Summer,C,WT_PL1,-544.5559568,PL1_C
26,Summer,C,WT_PL1,-278.4648743,PL1_C
27,Summer,C,WT_PL1,-314.1159643,PL1_C
28,Summer,C,WT_PL1,-329.8816732,PL1_C
29,Summer,C,WT_PL1,-410.9624408,PL1_C
30,Summer,C,WT_PL1,-265.5614624,PL1_C
31,Summer,C,WT_PL1,-35.16307576,PL1_C
32,Summer,C,WT_PL1,29.01134427,PL1_C
33,Summer,C,WT_PL1,-265.5798505,PL1_C
34,Summer,C,WT_PL1,-483.868988,PL1_C
35,Summer,C,WT_PL1,-187.4627889,PL1_C
1,Summer,D,WT_PL1,-3551.381866,PL1_D
2,Summer,D,WT_PL1,-2898.348755,PL1_D
3,Summer,D,WT_PL1,-2221.177485,PL1_D
4,Summer,D,WT_PL1,-1564.811043,PL1_D
5,Summer,D,WT_PL1,-584.6503245,PL1_D
6,Summer,D,WT_PL1,105.7578532,PL1_D
7,Summer,D,WT_PL1,650.952474,PL1_D
8,Summer,D,WT_PL1,322.9465672,PL1_D
9,Summer,D,WT_PL1,215.2974243,PL1_D
10,Summer,D,WT_PL1,44.79673258,PL1_D
11,Summer,D,WT_PL1,92.33768717,PL1_D
12,Summer,D,WT_PL1,196.4541626,PL1_D
13,Summer,D,WT_PL1,-94.34859212,PL1_D
14,Summer,D,WT_PL1,-404.2503255,PL1_D
15,Summer,D,WT_PL1,-893.5973307,PL1_D
16,Summer,D,WT_PL1,-1431.368896,PL1_D
17,Summer,D,WT_PL1,-1319.111816,PL1_D
18,Summer,D,WT_PL1,-1520.912048,PL1_D
19,Summer,D,WT_PL1,-1992.605387,PL1_D
20,Summer,D,WT_PL1,-2324.923767,PL1_D
21,Summer,D,WT_PL1,-2412.950439,PL1_D
22,Summer,D,WT_PL1,-2851.175212,PL1_D
23,Summer,D,WT_PL1,-3404.912875,PL1_D
24,Summer,D,WT_PL1,-3755.457753,PL1_D
25,Summer,D,WT_PL1,-4031.299581,PL1_D
26,Summer,D,WT_PL1,-4464.55279,PL1_D
27,Summer,D,WT_PL1,-4982.038167,PL1_D
28,Summer,D,WT_PL1,-5484.434611,PL1_D
29,Summer,D,WT_PL1,-5801.375488,PL1_D
30,Summer,D,WT_PL1,-5875.514119,PL1_D
31,Summer,D,WT_PL1,-6327.743896,PL1_D
32,Summer,D,WT_PL1,-6751.090841,PL1_D
33,Summer,D,WT_PL1,-6900.273905,PL1_D
34,Summer,D,WT_PL1,-7151.550863,PL1_D
35,Summer,D,WT_PL1,-7666.934285,PL1_D
1,Fall,C,WT_PL1,339.9008026,PL1_C
2,Fall,C,WT_PL1,335.4805374,PL1_C
3,Fall,C,WT_PL1,270.1774877,PL1_C
4,Fall,C,WT_PL1,-130.5943146,PL1_C
5,Fall,C,WT_PL1,-153.4156119,PL1_C
6,Fall,C,WT_PL1,-118.8853531,PL1_C
7,Fall,C,WT_PL1,17.82462565,PL1_C
8,Fall,C,WT_PL1,179.0996908,PL1_C
9,Fall,C,WT_PL1,-118.2164001,PL1_C
10,Fall,C,WT_PL1,-79.91008822,PL1_C
11,Fall,C,WT_PL1,109.325915,PL1_C
12,Fall,C,WT_PL1,339.4291077,PL1_C
